"Table C19: Community Safety Partnerships: Crime rate per 1,000 population for categories of anti-social behaviour, year ending March 2025 [note 1][note 4][note 5][note 6]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,age_band,flag_depression,flag_anxiety,flag_comorbid
E23000029,Thames Valley,E22000304,Bracknell Forest,E06000036,Bracknell Forest,126900,8.574963942591877,0.6778004586975197,6.707071980832434,1.1900915030619243,unknown,0,0,0
E23000029,Thames Valley,E22000305,Cherwell,E07000177,Cherwell,164200,6.1649051201608245,0.6030885443635587,4.416557521854345,1.14525905394292,unknown,0,0,0
E23000029,Thames Valley,E22000306,Chiltern,E06000060,Chiltern,97700,5.5372459110355985,0.5936418906470696,4.053141184417925,0.8904628359706045,unknown,0,0,0
E23000029,Thames Valley,E22000307,Milton Keynes,E06000042,Milton Keynes,292200,9.141625025669107,0.8111438154562256,6.865630775549318,1.4648504346635636,unknown,0,0,0
E23000029,Thames Valley,E22000308,Oxford,E07000178,Oxford,163300,8.287546628934749,0.5635286695210618,6.541832815744501,1.1821851436691841,unknown,0,0,0
E23000029,Thames Valley,E22000309,Reading,E06000038,Reading,174800,11.686305914655073,0.846585058917744,9.36391717194829,1.47580368378904,unknown,0,0,0
E23000029,Thames Valley,E22000310,Slough,E06000039,Slough,159200,9.976002311819176,0.7978289002525412,7.708157957558016,1.470015454008619,unknown,0,0,0
E23000029,Thames Valley,E22000311,South Bucks,E06000060,South Bucks,72200,6.976937345995183,0.9136465572136548,5.0527423239846065,1.0105484647969212,unknown,0,0,0
E23000029,Thames Valley,E22000312,South Oxfordshire,E07000179,South Oxfordshire,151800,5.5131076274535635,0.46107232248715585,4.116717165063891,0.9353181399025161,unknown,0,0,0
E23000029,Thames Valley,,Unassigned Thames Valley,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000029,Thames Valley,E22000313,Vale of White Horse,E07000180,Vale of White Horse,142100,6.52284049649582,0.4151538180078246,4.883334740634411,1.2243519378535843,unknown,0,0,0
E23000029,Thames Valley,E22000314,West Berkshire,E06000037,West Berkshire,162200,9.129858521098543,0.6842770397312209,7.083192059920476,1.3623894214468453,unknown,0,0,0
E23000029,Thames Valley,E22000315,West Oxfordshire,E07000181,West Oxfordshire,116900,6.003694581280787,0.496031746031746,4.51559934318555,0.992063492063492,unknown,0,0,0
E23000029,Thames Valley,E22000316,Windsor and Maidenhead,E06000040,Windsor and Maidenhead,154700,6.087709547751683,0.5622406907159198,4.439762695653298,1.085706161382466,unknown,0,0,0
E23000029,Thames Valley,E22000317,Wokingham,E06000041,Wokingham,181000,5.525869357396652,0.49732824216569876,4.155453756762283,0.8730873584686711,unknown,0,0,0
E23000029,Thames Valley,E22000318,Wycombe,E06000060,Wycombe,182400,8.131909106860853,0.7457448675206176,6.410115809791192,0.9760484295490437,unknown,0,0,0
E23000017,Warwickshire,,,,,607600,14.037103113211895,1.0845879882291756,8.943324928736478,4.009190196246239,unknown,0,0,0
E23000017,Warwickshire,E22000319,North Warwickshire,E07000218,North Warwickshire,65900,14.01146392502957,1.4102447457010283,8.158190034270465,4.443029145058078,unknown,0,0,0
E23000017,Warwickshire,E22000320,Nuneaton and Bedworth,E07000219,Nuneaton and Bedworth,135500,21.087827813494144,1.675511695366878,14.304588835334846,5.107727282792421,unknown,0,0,0
E23000017,Warwickshire,E22000321,Rugby,E07000220,Rugby,116400,10.649627263045794,0.9533134082242605,6.278127039747157,3.418186815074376,unknown,0,0,0
E23000017,Warwickshire,E22000359,South Warwickshire,Combined Local Authorities,,289700,12.04869176264319,0.7869096883078335,7.637855878180858,3.6239261961544966,unknown,0,0,0
E23000017,Warwickshire,,Unassigned Warwickshire,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000016,West Mercia,,,,,1314000,12.334244557011347,0.6156848180799767,10.222346695241342,1.4962130436900298,unknown,0,0,0
E23000016,West Mercia,E22000326,"Herefordshire, County of",E06000019,"Herefordshire, County of",188700,10.735538022138735,0.47689951727171087,8.690168981395619,1.5684695234714046,unknown,0,0,0
E23000016,West Mercia,E22000368,North Worcestershire,Combined Local Authorities,,289500,13.839384394341291,0.79782824933687,11.546059902740936,1.4954962422634837,unknown,0,0,0
E23000016,West Mercia,E22000360,Shropshire,E06000051,Shropshire,327200,9.82645532401323,0.4645789142301744,8.206542004658015,1.155334405125039,unknown,0,0,0
E23000016,West Mercia,E22000332,South Worcester,Combined Local Authorities,,319700,13.238238238238237,0.63501001001001,10.989114114114113,1.614114114114114,unknown,0,0,0
E23000016,West Mercia,E22000333,Telford and Wrekin,E06000020,Telford and Wrekin,188900,14.433131608346438,0.7041843374578416,11.912892926918373,1.816054343970223,unknown,0,0,0
E23000016,West Mercia,,Unassigned West Mercia,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000014,West Midlands,,,,,2953800,9.987758208365044,0.9963382959534378,7.35861678587969,1.6328031265319167,unknown,0,0,0
E23000014,West Midlands,E22000335,Birmingham,E08000025,Birmingham,1157600,10.751527077936045,1.122146366241276,8.004471308384653,1.624909403310116,unknown,0,0,0
E23000014,West Midlands,E22000336,Coventry,E08000026,Coventry,355600,10.908323959505061,1.1276715410573677,7.809336332958381,1.971316085489314,unknown,0,0,0
E23000014,West Midlands,E22000337,Dudley,E08000027,Dudley,325000,7.197609618148193,0.6862193009179337,5.375897393289822,1.1354929239404374,unknown,0,0,0
E23000014,West Midlands,E22000338,Sandwell,E08000028,Sandwell,344200,8.901542662909272,0.8773713721274804,6.263618140088899,1.7605531506928909,unknown,0,0,0
E23000014,West Midlands,E22000339,Solihull,E08000029,Solihull,217700,6.472863587500804,0.6615275774308841,4.800668877883846,1.0106671321860732,unknown,0,0,0
E23000014,West Midlands,,Unassigned West Midlands,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000014,West Midlands,E22000340,Walsall,E08000030,Walsall,286100,12.58279303053075,1.135946593034026,9.423113891753028,2.0237325457436954,unknown,0,0,0
E23000014,West Midlands,E22000341,Wolverhampton,E08000031,Wolverhampton,267700,10.330617109594211,0.9303159711714135,7.6554916663864505,1.7448094720363458,unknown,0,0,0
E23000010,West Yorkshire,,,,,2378100,11.72298780395501,0.21277060973497022,11.422754176779577,0.08746301744046207,unknown,0,0,0
E23000010,West Yorkshire,E22000342,Bradford,E08000032,Bradford,552600,12.521623323513872,0.2533276394930552,12.170583594502066,0.09771208951874986,unknown,0,0,0
E23000010,West Yorkshire,E22000343,Calderdale,E08000033,Calderdale,207700,11.675549713768483,0.21184502573435599,11.343338196139605,0.12036649189452044,unknown,0,0,0
E23000010,West Yorkshire,E22000344,Kirklees,E08000034,Kirklees,437600,10.23325327416115,0.2925092494624,9.874472397867425,0.066271626831325,unknown,0,0,0
E23000010,West Yorkshire,E22000345,Leeds,E08000035,Leeds,822500,10.988676969615177,0.15805797809802757,10.747942510665874,0.08267648085127596,unknown,0,0,0
E23000010,West Yorkshire,,Unassigned West Yorkshire,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000010,West Yorkshire,E22000346,Wakefield,E08000036,Wakefield,357700,13.974265435567148,0.173315554511935,13.711496691629698,0.08945318942551485,unknown,0,0,0
E23000038,Wiltshire ,,,,,751500,10.490431672481378,0.49099052348371747,7.442032514483555,2.5574086345141054,unknown,0,0,0
E23000038,Wiltshire ,E22000350,Swindon,E06000030,Swindon,235700,13.099547223294874,0.5177015747463475,9.314384889903547,3.26746075864498,unknown,0,0,0
E23000039,Wiltshire ,,,Unassigned Wiltshire,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000038,Wiltshire,E22000361,Wiltshire,E06000054,Wiltshire,515900,7.488102968684881,0.3663607199278909,5.289938649117536,1.8318035996394546,unknown,0,0,0
,British Transport Police,,British Transport Police,,,[x],[x],[x],[x],[x],unknown,0,0,0
,BTP - CENTRAL,,BTP - CENTRAL,,,[x],[x],[x],[x],[x],unknown,0,0,0
