"table s5: perceptions of the local police, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8
England and Wales,,,,,,,,Adults aged 16 and over
Personal characteristic1,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,
Full-time students,72.11405452569016,85.31669325572928,63.07278596599105,64.178483021408,53.790682684842295,81.10715888152059,76.76937572374143,961
Not classified,58.69621908474766,81.17454867131318,64.9539579570674,64.30316992745603,54.23450782941175,73.58947736839303,65.04037586805595,387
Highest qualification,,,,,,,,
Degree or diploma,59.254591274051606,88.22191249712613,65.62567493076824,65.8728882327885,51.845251195596184,81.5067275014671,75.35371178753714,13881
Apprenticeship or A/AS level,56.87077846814762,86.96254242264068,66.08422704691152,64.53144059166583,49.71818171864571,79.79241740299024,73.247929283506,5916
O level/GCSE,56.02252577636988,85.88133666892759,66.49717999562985,65.42280606489852,51.704127609096986,77.51494629112791,72.01124231503682,5920
Other,64.24311756301513,88.71076128110498,73.40508715800578,70.81365744609197,62.13732098731375,82.79549786818663,75.89576053092951,1606
,59.54274958443657,86.04115031136342,69.22562899731061,68.29052375594003,59.347702676582934,80.22449644838275,74.32805069454494,5894
Disability3,,,,,,,,
Disabled,53.273341378324766,85.08741249974082,63.26098931783007,63.98975854757551,51.0865415696113,76.65958449384867,69.94459641368498,6592
Not disabled,59.454746364592395,87.66654223164423,67.42908499489869,66.53795287059924,53.36023816883474,81.05800423747645,75.03559432639622,26654
Religion,,,,,,,,
No religion,57.313727319632754,85.5396140100995,63.68570984402203,63.749096816991845,49.698340931299114,78.65167814367312,72.11402472062434,12424
Christian,58.13673750294035,88.79994818884356,68.710682786787,67.96796469822091,54.92312310592688,81.70896024341732,75.8531641403141,18524
Buddhist,61.12257680280992,82.72417562758751,66.94556381245592,65.51876982462717,52.5419473277389,81.94217531473392,73.07467134966967,138
Hindu,70.92499580778525,92.01856273357622,78.06682507071486,69.30134802253622,63.88702354617892,87.44162251788855,79.74248605203476,446
Muslim,67.88700405399506,84.56373412548473,69.5192397287911,66.22613672140982,57.71247884237483,78.10531827028177,73.8009912394655,1225
Other,50.63851771909182,84.14148911932861,59.95953836920677,60.86592264026148,45.42667937546489,75.73830045151273,69.02771690711864,472
Sexual orientation4,,,,,,,,
Heterosexual or straight,58.08869779968151,87.1415202288216,66.77501769486615,66.19952891967691,52.01189940208578,80.01300795262567,73.86813473624765,25135
Gay or lesbian,59.197872773786116,83.72896045255777,58.477610912094036,60.563891158342834,45.328494393540616,77.57262870147649,69.71778905588396,400
Bisexual,63.40498896955048,86.2745551329727,59.1468414052324,59.27701003251609,51.489363089074836,78.82975755925486,71.20794593581005,387
Other,60.84177516148045,72.90950909907598,60.38683019960464,59.04139745828261,51.63661716290524,74.27006729092506,66.91384410852417,133
Number of hours away from home on weekday,,,,,,,,
Less than 3 hours,57.23263158379698,87.8460621860186,66.76189998485373,66.53946050995926,55.010182881900874,80.40856253069866,74.5713160897454,10513
